# traces ,# t > 4.5 t,max
78900,57792,206.3384
79000,57773,206.371
79100,57836,206.4843
79200,57811,206.5961
79300,57812,206.7268
79400,57873,206.8867
79500,57877,207.1001
79600,57877,207.1879
79700,57893,207.2569
79800,57929,207.3936
79900,57956,207.5111
80000,57957,207.6437
80100,57995,207.7425
80200,58020,207.9516
80300,58023,208.0832
80400,58047,208.0792
80500,58108,208.2495
80600,58067,208.4527
80700,58083,208.5801
80800,58069,208.6448
80900,58126,208.7448
81000,58159,208.8779
81100,58137,209.0518
81200,58190,209.2178
81300,58230,209.4422
81400,58288,209.6429
81500,58318,209.8734
81600,58358,210.0293
81700,58308,210.1342
81800,58336,210.3223
81900,58313,210.2265
82000,58301,210.3604
82100,58326,210.505
82200,58346,210.5669
82300,58389,210.6495
82400,58438,210.6875
82500,58506,210.9043
82600,58540,210.9851
82700,58547,211.049
82800,58520,211.1573
82900,58550,211.3316
83000,58591,211.4223
83100,58640,211.6455
83200,58695,211.7767
83300,58698,211.889
83400,58708,211.8666
83500,58679,211.9749
83600,58671,212.1648
83700,58678,212.2882
83800,58673,212.3502
83900,58668,212.5422
84000,58671,212.5794
84100,58706,212.795
84200,58690,212.8855
84300,58689,213.0673
84400,58702,213.2396
84500,58723,213.1308
84600,58748,213.2635
84700,58797,213.3935
84800,58779,213.5358
84900,58839,213.6665
85000,58856,213.8256
85100,58883,213.9937
85200,58926,214.1691
85300,58999,214.3038
85400,58986,214.3755
85500,58997,214.4631
85600,59020,214.5524
85700,59083,214.5683
85800,59074,214.7499
85900,59068,214.8262
86000,59076,214.9382
86100,59050,214.9997
86200,59077,215.1328
86300,59075,215.1845
86400,59085,215.1713
86500,59069,215.3687
86600,59125,215.5093
86700,59125,215.5111
86800,59153,215.7364
86900,59157,215.8767
87000,59180,215.9901
87100,59165,216.1148
87200,59193,216.2314
87300,59244,216.4589
87400,59233,216.5754
87500,59272,216.7475
87600,59335,216.9143
87700,59379,217.0627
87800,59350,217.1629
87900,59330,217.3196
88000,59398,217.5261
88100,59415,217.528
88200,59449,217.7563
88300,59462,217.8579
88400,59495,218.0324
88500,59474,218.0076
88600,59526,218.1856
88700,59509,218.3693
88800,59590,218.6204
88900,59571,218.7198
89000,59550,218.7951
89100,59576,219.0149
89200,59580,219.1771
89300,59604,219.2242
89400,59601,219.2367
89500,59664,219.3866
89600,59665,219.4799
89700,59696,219.5316
89800,59758,219.7155
89900,59767,219.7119
90000,59784,219.79
90100,59775,219.8341
90200,59791,219.9171
90300,59792,220.1222
90400,59796,220.2344
90500,59838,220.3284
90600,59845,220.5428
90700,59869,220.7378
90800,59921,220.9398
90900,59920,221.1376
91000,59910,221.1312
91100,59943,221.2627
91200,59942,221.3851
91300,59913,221.5359
91400,59954,221.7015
91500,60007,221.8755
91600,59996,221.9487
91700,59991,222.147
91800,59993,222.1528
91900,60025,222.2906
92000,60040,222.498
92100,60089,222.684
92200,60087,222.8292
92300,60134,223.0326
92400,60118,223.1329
92500,60131,223.2333
92600,60121,223.3374
92700,60139,223.499
92800,60143,223.4806
92900,60158,223.5704
93000,60144,223.5595
93100,60144,223.7564
93200,60132,223.9137
93300,60142,224.0706
93400,60157,224.2157
93500,60201,224.4217
